id,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GUM,,,,,,,,,,,,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5364000000,5566000000,5734000000,
GTM,9406097735,10440842165,11399942453,12983235568,14655487456,15674852771,17790095901,19395461990,18318512501,19288926545,18702802395,20776669467,21917706491,23965275996,27211377225,30231249362,34113107086,39136893345,37733994976,41338595381,47654841113,50388454861,53851058955,58722323918,63767597194,68763255964
GIN,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588376057,3461282294,2995360969,2833442750,2949637039,3446442219,3666349049,2937071767,2931625105,4134173275,4515824647,4609923756,4735956493,5067360009,5667229759,6231725485,6624068016,6699203543,6298927773
GNB,257150573,226313493,236880814,235619995,253966920,270419779,268551011,206457553,224446652,370173852,392278168,415843482,476388261,531109356,586791884,591829908,695606289,864136713,825828704,846332456,1105497855,995582062,1026664189,1109007300,1056776897,1126122708
GUY,336708419,368281379,442273433,540874934,621626786,705406001,749138010,717530683,694754988,712667897,696281472,722460886,741929343,785918770,824880550,1458446872,1740334782,1922598121,2025565089,2259288396,2576602497,2851154076,2990006534,3077086276,3179104116,3446266344
HTI,3473562850,2257129874,1878253818,2167569095,2813313282,2907517543,3338949152,3723903724,4153725967,3953839594,3596448035,3472194099,2960306121,3537721020,4310356253,4756204070,5885321656,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776360623,8724656126,8022638722
HND,3068444712,3419487441,3481990761,3432356579,3911053180,4034037162,4663193916,5202215657,5372543554,7103529494,7565869928,7775078403,8140271081,8772194250,9672035709,10841742348,12275501784,13789715133,14587496229,15839344592,17710275997,18528554861,18499729063,19756533658,20844308601,21516915353
HKG,88959620136,104272278635,120353947981,135812069769,144652912433,159717233622,177352785420,168886163222,165768095392,171668164083,169403241524,166349228737,161384522525,169099768875,181570082162,193536265094,211597405594,219279678430,214046415026,228637697575,248513617677,262629441493,275696879835,291459356985,309403880389,320912235499
HUN,34650782427,38616036222,40006243368,43039008830,46288369007,46538169512,47178241569,48661666395,49074725338,47209471853,53696730224,67561285379,85050281601,103694527827,112589039620,114801188269,139198195461,157290970541,129965360576,130255637531,140091591853,127321135030,134680475648,139294565101,121715203208,124342940194
ISL,6966138526,7138787995,6269347503,6441621298,7181787874,7501950116,7596126046,8468339856,8931365461,8946079678,8146073990,9199643908,11304084267,13703315349,16691213479,17043245939,21295012099,17640375722,12887072301,13254818331,14674650435,14218575093,15479256845,17178962757,16783714958,20047413006
IND,266502281094,284363884080,275570363432,322909902309,355475984177,387656017799,410320300470,415730874171,452699998387,462146799338,478965491061,508068952066,599592902016,699688852930,808901077223,920316529730,1201111768410,1186952757636,1323940295874,1656617073125,1823049927772,1827637859136,1856722121394,2035393459980,2111751098185,2263522518124
IDN,116621996217,128026966580,158006700302,176892143932,202132028723,227369679375,215748998610,95445547873,140001351215,165021012078,160446947785,195660611165,234772463824,256836875295,285868618224,364570514305,432216737775,510228635279,539580088908,755094160363,892969107923,917869910106,912524136718,890814755233,861256351277,932259177765
IRN,,,63743623232,71841461173,96419225744,120403931885,113919163421,110276913363,113848450088,109591707802,126878750296,128626917504,153544751395,183697185042,219845971945,258645743978,337474485087,397189565319,398978104575,467790215915,592037800187,587209369683,511620875087,425326068423,393436064442,
IRQ,,,,,,,,,,,,,,36627901762,49954890353,65140293688,88840050497,131613661510,111660855043,138516722650,185749664444,218000986223,234648370497,234648370497,179640210726,171489001692
IRL,49836763468,55973865068,52469340621,57154150177,69208232323,75864982359,82816774117,90111618257,98781557639,99855067256,109119123043,127941699605,164285609481,193870908865,211684827758,232167519759,270043019436,274919027391,235765976660,221343483669,240590736123,225819189161,239271158533,256271345443,283716006698,294053595686
IMN,,,,,914727081,1023086919,1180919719,1382548250,1567465657,1563667800,1614595291,1897606791,2264911807,2758117365,2971167185,3344402193,5685988395,5827468750,5047909332,5420118974,6066454094,6433357030,6754330155,7428280402,,
ISR,59170286560,65771216421,65925583866,74669719505,99968784246,109774101576,114543978663,115838004263,117212358383,132396684080,130751599020,121092701254,126749741991,135418563141,142837533703,154511423313,179564275456,216760312152,208068814689,233754747259,261374751963,257641795690,293314777889,308769389866,299415714727,318743685882
ITA,1242109402060,1315806990573,1061445229482,1095590837536,1170787357066,1308929305685,1239050936221,1266309223821,1248563148945,1141760021927,1162317840447,1266510668643,1569649631716,1798314755525,1852661936078,1942633841802,2203053327128,2390729210488,2185160158794,2125058270202,2276292459233,2072823111961,2130491269673,2151732834412,1824902219022,1849970464192
JAM,4071219198,3530892749,4859766161,4907861406,5779285208,6504445801,7450324787,8718300136,8795765306,8929375580,9087918837,9694161516,9399452788,10150978155,11204416000,11905525197,12824094990,13678551838,12038998757,13192229343,14440457549,14802430173,14276559216,13897561173,14261995114,14027151473
JPN,3578139437172,3897826229663,4466565327401,4907039384470,5449116304981,4833712542207,4414732843544,4032509760873,4562078822335,4887519660745,4303544259843,4115116279070,4445658071222,4815148854362,4755410630912,4530377224970,4515264514431,5037908465114,5231382674594,5700098114744,6157459594824,6203213121334,5155717056271,4848733415524,4383076298082,4939383909875
JOR,4344250257,5311329067,5605841536,6237739516,6727446632,6928359238,7246188575,7912327362,8149106065,8460424401,8975689845,9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,21972004086,23820230000,26425379437,28840263380,30937277606,33593843662,35826925775,37517410282,38654727746
KAZ,24881135586,24906939560,23409027476,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135,18291990619,22152689130,24636598581,30833692831,43151647003,57123671734,81003884545,104849886826,133441612247,115308661143,148047348241,192626507972,207998568866,236634552078,221415572820,184388432149,133657084405
KEN,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,39999659234,41953433591,50412754822,55097343448,61445345999,63767539357,70529014778
KIR,47515189,47737955,46919625,54832578,56338028,66515377,67537480,65334841,69032258,67254174,63101272,72196458,90231857,102367039,112133944,108545633,130754916,139125482,130465372,153275913,177142135,188045662,187153601,186066973,160121929,165765016
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,325734233313,350051111253,386302839274,455602962225,556130926913,598099073901,557503074772,374241351752,485248229337,561633125840,533052076314,609020054512,680520724062,764880644711,898137194716,1011797457139,1122679154632,1002219052968,901934953365,1094499338703,1202463682634,1222807284485,1305604981272,1411333926201,1382764027114,1411245589977
XKX,,,,,,,,,,1849196082,2535333632,2702427047,3355083117,3639935348,3736599925,4078158324,4833561456,5687488209,5653792720,5829933775,6649291076,6473724785,7072092406,7386891336,6440501275,6649888889
KWT,11008793176,19858555215,23941391391,24848483838,27191689008,31493987642,30354434553,25941929462,30121879435,37711864407,34890772742,38137545245,47875838926,59440108585,80797945205,101550654721,114641097818,147395833333,105899930507,115419050942,154027536232,174070025009,174161495063,162631763879,114041209704,
KGZ,2570833333,2316562500,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249062025,1369693171,1525112242,1605640633,1919012781,2211535312,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6551287938
LAO,1028087972,1127806945,1327748655,1543606345,1763536305,1873671550,1747011857,1280177839,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8261299200,10191367558,11942157500,13268297522,14390323462,15903437790
LVA,,,,,5788368511,5970044666,6525676264,7174985107,7533187605,7937758980,8350252966,9546441564,11748433157,14373269156,16922504045,21447021570,30901399261,35596016664,26169854045,23757368290,28223552825,28119996053,30254571078,31352249350,27026037600,27677391316
LBN,4451497288,5545921947,7535259851,9599127050,11718795528,13690217333,15751867489,17247179006,17391056369,17260364842,17649751244,19152238806,20082918740,20955223881,21287562189,21796351575,24577114428,28829850746,35139635158,38009950249,40078938640,43205095854,44352417910,45730945274,47084703151,47536798648
LSO,704329193,831033946,835592816,878250453,1001889846,946123281,997996035,928458201,912771284,887295262,825706967,775780697,1157832936,1511236652,1682350942,1800105593,1820597205,1868776303,1864004707,2394097299,2791545696,2678243067,2532392022,2520952363,2335194894,2199709489
