 Samoa,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
 San Marino,0,0,0,0,0,0,0,0,0,0
 Sao Tome and Principe,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
 Saudi Arabia,16.4,18.9,21.4,24.7,28.1,28.8,29.5,30.2,30.9,31.5
 Senegal,7.5,8.7,9.9,11.3,13,13.4,13.8,14.2,14.7,15.1
 Serbia,9.5,9.9,9.5,9.2,9.1,9,9,8.9,8.9,8.9
 Seychelles,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Sierra Leone,3.9,3.8,4.1,5.1,5.8,5.9,6,6.2,6.3,6.5
 Singapore,3,3.5,3.9,4.5,5.1,5.2,5.3,5.4,5.5,5.6
 Slovakia,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
 Slovenia,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1
 Solomon Islands,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6
 Somalia,6.3,6.3,7.4,8.5,9.6,9.8,10,10.3,10.5,10.8
 South Africa,36.8,41.4,44.9,48.4,51.6,52.2,52.8,53.4,54,54.5
 South Sudan,5.8,5.5,6.7,8.1,10.1,10.5,11,11.5,11.9,12.3
 Spain,39.2,39.8,40.8,43.9,46.6,46.7,46.6,46.5,46.3,46.1
 Sri Lanka,17.3,18.2,18.8,19.5,20.2,20.3,20.4,20.5,20.6,20.7
 Sudan,20,24.7,28.1,32,36.1,36.9,37.7,38.5,39.4,40.2
 Suriname,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
 Swaziland,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
 Sweden,8.6,8.8,8.9,9,9.4,9.5,9.5,9.6,9.7,9.8
 Switzerland,6.7,7,7.2,7.4,7.8,7.9,8,8.1,8.2,8.3
 Syrian Arab Republic,12.5,14.3,16.4,18.1,20.7,20.5,20,19.3,18.8,18.5
 Tajikistan,5.3,5.8,6.2,6.8,7.6,7.8,7.9,8.1,8.3,8.5
 Tanzania (United Republic of),25.5,29.9,34,39.1,45.6,47.1,48.6,50.2,51.8,53.5
 Thailand,56.6,59.3,62.7,65.9,66.7,66.9,67.2,67.5,67.7,68
 The former Yugoslav Republic of Macedonia,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1
 Timor-Leste,0.7,0.9,0.8,1,1.1,1.1,1.1,1.1,1.2,1.2
 Togo,3.8,4.3,4.9,5.6,6.4,6.6,6.7,6.9,7.1,7.3
 Tonga,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Trinidad and Tobago,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4
 Tunisia,8.2,9.1,9.7,10.1,10.6,10.8,10.9,11,11.1,11.3
 Turkey,54,58.5,63.2,67.9,72.3,73.5,74.8,76.2,77.5,78.7
 Turkmenistan,3.7,4.2,4.5,4.7,5,5.1,5.2,5.2,5.3,5.4
 Tuvalu,0,0,0,0,0,0,0,0,0,0
 Uganda,17.4,20.4,23.8,28,33.1,34.3,35.4,36.6,37.8,39
 Ukraine,51.4,50.8,48.7,46.8,45.6,45.5,45.3,45.2,45,44.8
 United Arab Emirates,1.8,2.4,3,4.5,8.3,8.7,9,9,9.1,9.2
 United Kingdom,57.1,57.9,58.9,60.2,62.7,63.2,63.6,64,64.3,64.7
 United States,252.8,266.3,282.9,296.1,309.9,312.4,314.8,317.1,319.4,321.8
 Uruguay,3.1,3.2,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4
 Uzbekistan,20.5,22.7,24.5,25.9,27.7,28.2,28.6,29,29.5,29.9
 Vanuatu,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
 Venezuela (Bolivarian Republic of),19.9,22.2,24.5,26.8,29,29.4,29.9,30.3,30.7,31.1
 Viet Nam,68.2,75.2,80.3,84.2,88.4,89.3,90.3,91.4,92.4,93.4
 Yemen,12,15.3,17.8,20.5,23.6,24.2,24.9,25.5,26.2,26.8
 Zambia,8.1,9.3,10.6,12,13.9,14.3,14.8,15.2,15.7,16.2
 Zimbabwe,10.5,11.7,12.5,13,14,14.3,14.6,14.9,15.2,15.6
